Time(Iteration),CUCB,CUCB_Attack,Randomized CUCB,Randomized CUCB_Attack
0,149,137,142,138
1,180,148,161,146
2,201,159,180,160
3,207,176,197,170
4,220,179,204,171
5,222,174,195,178
6,225,189,205,184
7,233,193,206,190
8,232,200,210,191
9,236,201,216,183
10,234,198,206,195
11,232,207,198,202
12,243,199,223,203
13,249,200,200,187
14,247,203,206,192
15,247,201,204,186
16,246,202,223,199
17,246,204,212,199
18,245,213,220,196
19,258,207,208,193
