Time(Iteration),CUCB_Attack,Randomized CUCB_Attack
0,95,90
1,199,181
2,312,278
3,432,381
4,546,480
5,657,584
6,779,683
7,902,790
8,1026,903
9,1143,1000
10,1256,1112
11,1384,1234
12,1498,1346
13,1614,1443
14,1734,1555
15,1850,1656
16,1975,1768
17,2091,1878
18,2218,1990
19,2336,2090
