Time(Iteration),CLCB,CLCB_Attack
0,14,19
1,18,23
2,19,18
3,13,17
4,22,14
5,23,22
6,20,33
7,21,19
8,16,22
9,16,21
10,18,21
11,17,22
12,22,24
13,22,28
14,22,15
15,18,18
16,24,15
17,15,16
18,15,22
19,13,18
20,26,13
21,17,13
22,22,22
23,13,24
24,23,24
25,21,21
26,20,19
27,20,24
28,19,23
29,20,25
30,20,17
31,12,21
32,19,19
33,12,27
34,20,19
35,17,22
36,16,24
37,15,18
38,10,21
39,21,26
40,21,19
41,10,32
42,19,22
43,20,15
44,22,18
45,19,15
46,15,24
47,21,22
48,15,17
49,17,16
50,17,24
51,18,22
52,15,26
53,21,14
54,18,27
55,10,11
56,21,21
57,20,22
58,23,12
59,18,23
60,16,16
61,16,14
62,17,18
63,18,20
64,19,20
65,11,22
66,12,21
67,15,28
68,22,24
69,23,19
70,16,27
71,19,20
72,22,26
73,25,18
74,13,22
75,24,30
76,27,23
77,21,24
78,26,21
79,25,22
80,21,19
81,14,19
82,18,17
83,18,22
84,24,22
85,18,17
86,19,22
87,14,8
88,15,21
89,20,27
90,18,22
91,17,18
92,11,22
93,24,20
94,15,29
95,24,24
96,20,20
97,16,22
98,12,19
99,20,26
100,21,21
101,22,11
102,20,21
103,16,20
104,10,15
105,20,12
106,15,11
107,17,23
108,11,25
109,18,29
110,26,23
111,13,23
112,10,23
113,19,27
114,19,20
115,23,20
116,23,18
117,17,14
118,12,24
119,15,18
120,19,25
121,15,27
122,17,18
123,16,20
124,17,11
125,16,21
126,12,22
127,23,27
128,12,22
129,13,27
130,17,15
131,20,21
132,20,26
133,16,21
134,23,22
135,14,11
136,17,22
137,17,16
138,22,12
139,21,14
140,21,27
141,25,20
142,22,19
143,16,24
144,16,18
145,18,19
146,18,21
147,12,24
148,15,14
149,16,21
150,16,9
151,15,20
152,19,20
153,22,15
154,17,26
155,17,18
156,17,23
157,13,17
158,22,24
159,12,32
160,25,29
161,22,22
162,23,19
163,16,21
164,14,21
165,23,25
166,21,18
167,15,21
168,13,16
169,16,22
170,14,17
171,21,18
172,18,17
173,13,20
174,15,16
175,15,22
176,12,16
177,18,18
178,17,19
179,13,22
180,18,17
181,13,28
182,13,24
183,17,22
184,18,25
185,15,13
186,16,26
187,16,16
188,7,29
189,14,27
190,11,15
191,12,27
192,15,18
193,19,30
194,24,24
195,18,20
196,22,17
197,11,17
198,10,27
199,21,20
200,11,26
201,21,25
202,17,17
203,16,11
204,17,16
205,14,28
206,18,26
207,10,14
208,21,22
209,15,16
210,17,19
211,12,17
212,9,23
213,21,20
214,18,23
215,19,18
216,7,19
217,15,16
218,12,23
219,17,19
220,15,23
221,15,22
222,16,32
223,23,16
224,20,26
225,11,21
226,14,21
227,19,22
228,17,26
229,21,12
230,21,25
231,19,24
232,18,25
233,16,15
234,17,17
235,20,22
236,17,22
237,18,25
238,19,28
239,14,10
240,14,20
241,16,19
242,12,16
243,9,14
244,15,15
245,22,12
246,14,19
247,24,29
248,14,14
249,15,22
250,18,26
251,16,12
252,15,18
253,17,17
254,10,9
255,15,19
256,13,16
257,18,27
258,12,25
259,24,18
260,19,19
261,18,20
262,14,29
263,17,27
264,12,19
265,15,20
266,16,19
267,16,9
268,13,18
269,22,19
270,12,14
271,17,26
272,11,11
273,18,24
274,17,17
275,23,18
276,20,29
277,6,18
278,12,18
279,15,20
280,20,35
281,15,30
282,18,20
283,11,20
284,14,29
285,10,22
286,16,13
287,20,17
288,16,21
289,17,26
290,20,22
291,19,17
292,16,13
293,16,18
294,11,17
295,5,25
296,16,16
297,15,17
