Time(Iteration),CLCB_Attack,CLCB
0,16,13
1,25,14
2,21,21
3,10,9
4,19,25
5,16,30
6,26,17
7,22,16
8,20,27
9,17,20
10,23,13
11,17,18
12,17,24
13,18,15
14,18,9
15,20,20
16,23,19
17,18,23
18,18,11
19,28,12
20,15,18
21,23,21
22,12,21
23,20,21
24,24,32
25,25,21
26,21,19
27,15,15
28,19,22
29,20,22
30,27,28
31,25,16
32,17,22
33,24,19
34,26,8
35,19,13
36,22,18
37,20,15
38,18,19
39,21,16
40,23,25
41,14,15
42,16,16
43,19,20
44,21,16
45,18,22
46,15,16
47,19,23
48,20,23
49,14,17
50,18,18
51,19,15
52,17,11
53,15,21
54,18,20
55,15,19
56,17,17
57,22,13
58,22,17
59,28,16
60,15,14
61,20,13
62,28,18
63,28,23
64,20,17
65,20,20
66,15,12
67,17,16
68,21,14
69,20,22
70,14,13
71,27,25
72,15,20
73,34,19
74,23,23
75,18,19
76,15,23
77,23,14
78,18,18
79,15,18
80,20,24
81,22,17
82,8,16
83,25,18
84,19,18
85,25,20
86,24,12
87,22,18
88,20,16
89,22,15
90,15,18
91,8,14
92,29,21
93,16,19
94,12,11
95,22,17
96,18,19
97,26,23
98,26,17
99,24,12
100,13,15
101,15,19
102,24,14
103,16,17
104,28,12
105,27,16
106,17,19
107,16,18
108,24,15
109,18,19
110,18,18
111,18,21
112,18,17
113,26,15
114,21,16
115,25,18
116,19,18
117,26,19
118,14,22
119,19,19
120,31,18
121,15,14
122,30,9
123,13,11
124,21,25
125,25,24
126,19,20
127,16,23
128,19,25
129,23,14
130,22,14
131,21,15
132,16,16
133,23,16
134,18,19
135,23,10
136,24,18
137,16,11
138,18,20
139,23,20
140,22,21
141,21,16
142,25,19
143,19,16
144,25,16
145,16,15
146,21,14
147,10,14
148,16,15
149,19,17
150,16,23
151,18,17
152,22,20
153,19,14
154,18,20
155,16,14
156,23,17
157,18,17
158,28,15
159,27,16
160,19,16
161,16,19
162,22,21
163,16,15
164,24,17
165,28,13
166,15,16
167,14,16
168,13,20
169,24,13
170,15,16
171,25,17
172,23,13
173,16,17
174,18,19
175,15,28
176,22,18
177,24,17
178,18,13
179,24,19
180,19,18
181,21,22
182,20,13
183,9,18
184,26,13
185,13,23
186,29,21
187,21,17
188,11,15
189,17,14
190,24,12
191,17,11
192,21,13
193,31,8
194,19,18
195,20,20
196,18,14
197,24,17
198,21,14
199,22,15
200,18,18
201,14,16
202,24,11
203,16,12
204,19,18
205,27,18
206,25,11
207,19,10
208,23,14
209,19,14
210,25,19
211,27,12
212,24,18
213,16,23
214,25,16
215,20,19
216,22,18
217,24,16
218,20,12
219,23,16
220,26,17
221,18,15
222,15,18
223,32,20
224,27,15
225,16,14
226,20,16
227,19,13
228,18,15
229,15,16
230,18,23
231,23,16
232,19,18
233,23,21
234,16,18
235,26,15
236,15,21
237,14,13
238,22,13
239,25,20
240,23,11
241,18,13
242,16,19
243,26,16
244,19,19
245,24,16
246,25,19
247,16,17
248,22,16
249,20,12
250,26,14
251,16,21
252,19,20
253,27,18
254,13,15
255,28,16
256,19,21
257,25,21
258,19,18
259,17,20
260,18,10
261,19,17
262,21,13
263,21,14
264,22,26
265,17,20
266,14,8
267,23,12
268,19,11
269,22,17
270,13,18
271,21,14
272,20,15
273,12,17
274,17,10
275,14,13
276,15,13
277,20,14
278,18,19
279,20,19
280,28,19
281,13,10
282,16,18
283,18,16
284,22,14
285,23,12
286,18,18
287,19,16
288,17,18
289,18,21
290,32,19
291,23,16
292,23,20
293,20,13
294,23,18
295,13,13
296,13,17
297,19,13
298,21,21
299,21,19
300,20,13
301,22,14
302,22,13
303,13,14
304,20,14
305,11,16
306,13,17
307,14,22
308,24,20
309,30,22
310,23,23
311,17,13
312,21,20
313,24,16
314,16,9
315,15,7
316,17,14
317,24,9
318,18,19
319,15,19
320,17,24
321,22,16
322,20,12
323,26,14
324,17,17
325,20,17
326,22,13
327,13,18
328,17,15
329,16,15
330,21,11
331,23,18
332,17,14
333,18,9
334,18,22
335,23,19
336,9,17
337,26,17
338,9,14
339,22,18
340,19,10
341,21,20
342,20,13
343,12,21
344,21,14
345,23,15
346,20,20
347,21,10
348,27,15
349,18,18
350,20,16
351,17,10
352,16,17
353,22,13
354,20,18
355,14,18
356,24,15
357,23,11
358,20,12
359,28,16
360,24,17
361,24,11
362,14,18
363,24,23
364,23,19
365,29,19
366,18,21
367,19,11
368,26,9
369,29,13
370,18,11
371,17,13
372,17,10
373,25,17
374,26,15
375,23,16
376,23,7
377,24,18
378,28,16
379,17,14
380,18,19
381,26,14
382,28,19
383,22,14
384,24,18
385,26,16
386,21,12
387,18,15
388,21,10
389,24,13
390,20,17
391,15,18
392,13,11
393,27,13
394,17,15
395,17,14
396,19,13
397,17,8
398,20,14
399,22,12
400,28,9
401,16,14
402,20,19
403,17,20
404,24,16
405,21,18
406,26,9
407,19,14
408,19,16
409,11,13
410,16,21
411,27,10
412,19,13
413,20,11
414,16,12
415,25,12
416,12,14
417,22,12
418,19,14
419,15,20
420,16,9
421,11,10
422,19,20
423,24,20
424,15,21
425,19,13
426,17,19
427,18,11
428,20,12
429,15,19
430,18,17
431,21,14
432,21,12
433,20,14
434,24,17
435,18,20
436,15,18
437,14,15
438,12,18
439,19,16
440,17,15
441,16,18
442,26,12
443,20,16
444,23,12
445,15,13
446,22,14
447,16,16
448,25,16
449,27,17
450,26,19
451,25,13
452,21,20
453,28,20
454,16,17
455,19,24
456,20,13
457,25,29
458,15,16
459,25,16
460,22,24
461,17,13
462,23,17
463,17,24
464,26,19
465,18,14
466,28,17
467,20,19
468,28,21
469,18,8
470,25,18
471,20,18
472,24,20
473,17,16
474,22,18
475,20,18
476,14,18
477,21,16
478,27,17
479,18,16
480,22,15
481,25,18
482,26,17
483,15,10
484,23,21
485,22,26
486,17,22
487,21,12
488,31,22
489,19,17
490,26,15
491,14,21
492,26,13
493,26,17
494,22,16
495,13,22
496,31,12
497,27,8
498,18,13
499,18,16
500,24,15
501,16,16
502,32,18
503,19,25
