Time(Iteration),CLCB,CLCB_Attack
0,17,24
1,17,19
2,31,27
3,8,14
4,18,24
5,17,16
6,23,19
7,12,34
8,21,19
9,24,13
10,17,22
11,21,17
12,23,25
13,18,26
14,26,17
15,15,18
16,15,15
17,16,12
18,18,23
19,20,20
20,14,22
21,18,19
22,17,11
23,19,14
24,13,28
25,20,23
26,21,29
27,23,28
28,13,20
29,16,21
30,10,25
31,14,23
32,28,21
33,16,21
34,16,23
35,15,14
36,17,22
37,14,23
38,13,23
39,17,22
40,24,20
41,13,15
42,24,22
43,7,23
44,16,23
45,21,24
46,15,19
47,12,23
48,26,13
49,20,16
50,24,14
51,13,22
52,18,10
53,15,19
54,22,17
55,14,16
56,14,20
57,15,23
58,16,17
59,26,22
60,19,14
61,20,17
62,18,13
63,22,19
64,20,20
65,15,22
66,13,25
67,12,23
68,17,19
69,15,19
70,15,13
71,14,22
72,15,22
73,20,15
74,13,19
75,15,10
76,23,16
77,13,22
78,13,20
79,24,12
80,19,22
81,18,26
82,17,18
83,23,20
84,17,24
85,23,19
86,17,23
87,14,23
88,23,22
89,15,23
90,16,18
91,15,20
92,17,18
93,10,18
94,19,18
95,10,20
96,15,16
97,17,21
98,17,20
99,17,21
100,18,21
101,19,19
102,18,22
103,23,26
104,22,21
105,26,20
106,14,12
107,19,16
108,19,18
109,18,17
110,15,22
111,19,14
112,15,22
113,19,19
114,18,15
115,13,25
116,14,19
117,15,20
118,24,21
119,13,28
120,8,31
121,18,19
122,17,20
123,13,19
124,14,17
125,15,25
126,22,14
127,26,19
128,19,10
129,18,21
130,12,18
131,12,16
132,12,26
133,19,24
134,11,17
135,14,20
136,20,23
137,16,17
138,12,19
139,18,18
140,20,23
141,23,24
142,18,14
143,13,19
144,20,26
145,16,15
146,12,18
147,17,18
148,18,14
149,16,24
150,12,18
151,12,24
152,16,20
153,16,30
154,18,18
155,19,20
156,18,19
157,14,23
158,14,23
159,20,19
160,16,20
161,28,18
162,20,22
163,16,26
164,19,22
165,16,20
166,10,23
167,21,20
168,17,27
169,13,20
170,19,35
171,12,22
172,20,21
173,16,17
174,8,14
175,19,24
176,20,15
177,15,31
178,11,24
179,16,16
180,20,26
181,13,20
182,22,18
183,13,22
184,14,19
185,16,26
186,18,21
187,15,32
188,21,22
189,15,30
190,16,18
191,13,26
192,14,17
193,14,20
194,15,28
195,11,24
196,11,15
197,17,19
198,13,21
199,19,19
200,13,19
201,12,27
202,15,22
203,13,19
204,12,23
205,15,22
206,18,18
207,12,23
208,22,20
209,12,21
210,16,16
211,20,18
212,19,19
213,18,25
214,17,23
215,12,28
216,10,23
217,19,10
218,18,18
219,12,20
220,13,18
221,9,22
222,20,21
223,11,15
224,23,33
225,12,34
226,17,18
227,22,20
228,21,28
229,20,29
230,17,22
231,19,17
232,15,20
233,16,25
234,13,15
235,20,25
236,19,21
237,20,24
238,12,18
239,18,15
240,16,24
241,15,18
242,11,18
243,7,23
244,18,22
245,18,17
246,17,24
247,16,15
248,16,18
249,22,19
250,13,14
251,16,16
252,11,18
253,15,25
254,15,16
255,17,20
256,20,31
257,12,21
258,24,25
259,21,22
260,18,23
261,14,24
262,16,23
263,9,21
264,19,17
265,13,14
266,20,20
267,16,27
268,17,14
269,17,25
270,16,19
271,12,26
272,11,24
273,17,17
274,12,18
275,22,23
276,20,17
277,19,19
278,16,29
279,11,18
280,14,22
281,17,20
282,22,19
283,20,17
284,12,16
285,19,23
286,15,22
287,17,26
288,20,34
289,18,19
290,21,17
291,23,28
292,15,26
293,18,22
294,20,13
295,17,25
296,8,16
297,15,16
298,18,19
299,19,19
300,19,20
301,22,21
302,15,25
303,14,20
304,12,26
305,13,21
306,25,25
307,20,29
308,18,24
309,24,28
310,19,21
311,8,17
312,9,16
313,12,19
314,20,19
315,17,23
316,7,26
317,17,34
318,9,26
319,17,22
320,13,19
321,11,20
322,20,23
323,10,19
324,8,25
325,15,22
326,11,21
327,24,19
328,19,20
329,17,19
330,15,20
331,13,24
332,18,23
333,17,27
334,14,14
335,11,17
336,20,14
337,12,21
338,13,27
339,16,22
340,24,25
341,17,16
342,17,17
343,12,22
344,14,27
345,13,20
346,23,20
347,16,24
348,17,17
349,15,19
350,19,17
351,16,19
352,7,26
353,15,17
354,19,12
355,17,28
356,11,22
357,17,18
358,17,19
359,21,24
360,12,17
361,9,15
362,14,18
363,11,29
364,18,26
365,20,26
366,12,18
367,15,15
368,18,20
369,24,28
370,23,21
371,20,17
372,14,21
373,23,18
374,12,21
375,15,18
376,11,22
377,12,22
378,14,22
379,24,25
380,14,18
381,22,19
382,19,20
383,23,11
384,15,19
385,26,18
386,14,18
387,16,10
388,16,27
389,12,18
390,15,27
391,12,21
392,17,19
393,18,19
394,22,16
395,16,23
396,11,14
397,10,26
398,11,22
399,20,22
400,14,20
401,18,21
402,14,23
403,14,18
404,16,27
405,10,27
406,9,31
407,12,24
408,25,19
409,15,15
410,14,20
411,18,17
412,17,30
413,16,35
414,23,19
415,13,19
416,12,28
417,17,23
418,11,27
419,11,27
420,17,17
421,10,24
422,17,20
423,13,23
424,19,20
425,13,21
426,13,21
427,22,30
428,17,25
429,11,15
430,20,22
431,25,18
432,12,23
433,19,12
434,13,21
435,24,17
436,11,26
437,18,17
438,13,22
439,10,29
440,18,13
441,14,23
442,16,22
443,15,21
444,19,20
445,16,18
446,19,20
447,16,21
448,11,26
449,14,16
450,19,25
451,16,17
452,18,17
453,20,19
454,13,30
455,15,21
456,13,19
457,15,18
458,16,23
459,16,31
460,19,27
461,19,25
462,7,17
463,14,26
464,14,27
465,22,21
466,12,22
467,18,22
468,17,23
469,23,19
470,5,19
471,7,16
472,13,13
473,15,23
474,23,20
475,12,22
476,19,24
477,22,19
478,18,14
479,15,19
480,18,14
481,7,25
482,13,13
483,11,24
484,16,19
485,14,24
486,14,18
487,13,22
488,19,21
489,13,26
490,19,24
491,15,16
492,17,23
493,16,21
494,14,26
495,26,21
496,17,16
497,12,15
498,12,21
499,20,28
500,16,14
501,16,24
502,19,23
503,12,21
504,17,17
505,11,13
506,16,20
507,21,21
508,12,19
509,22,20
510,13,20
511,16,15
512,9,16
513,11,20
514,18,27
515,12,33
516,12,18
517,25,27
518,16,18
519,19,29
520,14,13
521,9,23
522,13,17
523,13,19
524,11,33
525,15,17
526,11,16
527,17,23
528,17,23
529,16,18
530,25,14
531,18,11
532,17,18
533,16,22
534,15,22
535,14,23
536,15,16
537,19,25
538,16,21
539,13,19
540,20,11
541,18,21
542,13,20
543,12,20
544,13,27
545,23,22
546,15,19
547,10,22
548,10,18
549,14,20
550,13,22
551,13,19
552,16,23
553,24,23
554,18,19
555,14,21
556,11,20
557,18,14
558,12,17
559,19,21
560,15,29
561,16,26
562,12,24
563,15,15
564,11,19
565,16,15
566,10,21
567,20,25
568,20,26
569,12,19
570,17,11
571,10,27
572,17,20
573,11,22
574,14,20
575,19,21
576,8,17
577,10,17
578,14,21
579,16,22
580,13,18
581,20,31
582,12,13
583,20,29
584,17,17
585,19,22
586,21,17
587,20,13
588,9,21
589,15,15
590,17,19
591,18,20
592,16,21
593,14,16
594,18,16
595,17,10
596,14,24
597,11,17
598,13,21
599,12,26
600,11,13
601,18,15
602,17,16
603,16,23
604,12,22
605,13,21
606,14,21
607,16,28
608,8,19
609,11,17
610,12,22
611,17,21
612,15,20
613,16,25
614,12,22
615,20,15
616,19,21
617,13,21
618,15,19
619,13,16
620,12,27
621,14,22
622,19,21
623,16,17
624,10,32
625,13,21
626,8,17
627,13,19
628,15,23
629,24,17
630,13,18
631,16,31
632,19,15
633,10,21
634,11,21
635,15,22
636,18,19
637,10,18
638,10,23
639,15,20
640,22,24
641,19,22
642,21,29
643,15,20
644,19,22
645,17,27
646,8,23
647,16,23
648,12,24
649,16,21
650,14,28
651,15,24
652,19,20
653,19,24
654,13,25
655,11,23
656,22,19
657,12,26
658,21,23
659,16,21
660,18,16
661,14,18
662,9,16
663,19,29
664,15,22
665,20,22
666,12,19
667,17,19
668,10,18
669,20,25
670,6,15
671,14,16
672,18,16
673,13,19
674,10,17
675,18,27
676,17,20
677,17,14
678,15,15
679,20,18
680,10,23
681,17,13
682,14,19
683,12,18
684,17,22
685,14,14
686,8,17
687,12,18
688,21,21
689,20,23
690,11,30
691,15,22
692,13,25
693,15,18
694,12,14
695,15,18
696,13,19
697,14,18
698,21,20
699,13,25
700,17,18
701,16,23
702,16,20
703,11,12
704,14,17
705,13,22
706,18,19
707,16,24
708,17,16
709,11,26
710,9,31
711,15,8
712,18,20
713,24,28
714,18,12
715,17,26
716,15,16
717,18,23
718,11,14
719,14,27
720,17,23
721,10,26
722,18,25
723,11,15
724,15,16
725,18,26
726,19,12
727,17,17
728,9,19
729,12,30
730,14,17
731,15,23
732,15,17
733,15,18
734,10,20
735,11,20
736,17,18
737,12,24
738,12,19
739,17,22
740,15,17
741,13,22
742,13,16
743,11,22
744,13,16
745,22,18
746,13,22
747,15,25
748,13,23
749,14,24
750,17,19
751,21,16
752,13,21
753,15,25
754,11,26
755,12,15
756,8,14
757,20,16
758,16,17
759,20,20
760,9,23
761,7,28
762,17,27
763,14,30
764,18,23
765,12,21
766,17,12
767,8,26
768,16,22
769,20,23
770,15,24
771,24,19
772,18,23
773,11,21
774,12,30
775,10,22
776,14,24
777,14,25
778,13,34
779,14,20
780,15,18
781,12,23
782,19,19
783,14,11
784,20,11
785,12,24
786,14,17
787,19,19
788,17,22
789,13,17
790,18,12
791,14,22
792,19,21
793,17,19
794,13,26
795,12,22
796,21,22
797,18,24
