Time(Iteration),CLCB,CLCB_Attack
0,10,23
1,20,12
2,21,20
3,21,20
4,12,25
5,23,18
6,17,21
7,18,17
8,22,19
9,18,20
10,19,15
11,25,23
12,21,20
13,16,20
14,15,20
15,26,18
16,16,19
17,17,19
18,29,23
19,20,19
20,14,17
21,22,17
22,14,20
23,16,29
24,21,28
25,21,22
26,11,17
27,16,15
28,15,15
29,17,22
30,15,16
31,20,18
32,13,15
33,19,25
34,18,16
35,11,23
36,11,12
37,14,27
38,14,26
39,21,22
40,17,19
41,11,19
42,21,23
43,11,13
44,18,20
45,19,10
46,16,20
47,23,26
48,14,26
49,12,17
50,11,21
51,23,16
52,16,24
53,23,22
54,19,27
55,20,26
56,12,28
57,19,11
58,17,27
59,20,17
60,26,17
61,11,22
62,23,25
63,15,19
64,17,23
65,21,16
66,25,26
67,18,21
68,14,15
69,22,15
70,23,19
71,19,14
72,18,24
73,16,17
74,15,14
75,21,26
76,19,17
77,18,26
78,6,22
79,18,19
80,13,18
81,33,15
82,22,17
83,15,22
84,25,18
85,16,19
86,21,20
87,23,16
88,19,15
89,15,21
90,19,15
91,18,16
92,12,22
93,14,28
94,17,22
95,18,14
96,18,21
97,20,29
98,15,19
99,13,14
100,13,25
101,20,20
102,17,19
103,18,23
104,17,14
105,14,27
106,16,26
107,12,17
108,26,21
109,16,21
110,15,15
111,21,16
112,19,13
113,14,18
114,24,17
115,17,18
116,23,29
117,12,22
118,19,14
119,20,18
120,19,15
121,11,17
122,19,15
123,8,17
124,17,22
125,11,26
126,12,14
127,17,19
128,10,11
129,19,17
130,18,26
131,21,20
132,23,25
133,15,25
134,13,14
135,10,28
136,18,20
137,17,17
138,20,28
139,17,18
140,19,19
141,24,16
142,14,25
143,19,23
144,21,25
145,19,15
146,16,19
147,18,16
148,14,28
149,18,20
150,15,27
151,12,12
152,16,21
153,15,25
154,16,16
155,16,17
156,15,22
157,21,19
158,19,14
159,18,17
160,20,12
161,13,15
162,17,22
163,26,17
164,16,15
165,14,17
166,18,19
167,14,19
168,13,16
169,15,20
170,17,20
171,22,16
172,13,20
173,7,14
174,16,23
175,22,16
176,15,23
177,17,21
178,13,18
179,21,15
180,17,20
181,14,18
182,14,16
183,14,15
184,13,26
185,15,24
186,15,19
187,17,18
188,16,15
189,15,19
190,15,15
191,12,25
