Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
332,1556,2300,3122
333,1557,2342,3122
334,1557,2343,3123
335,1558,2369,3126
336,1576,2380,3132
337,1579,2398,3135
338,1579,2424,3142
339,1597,2424,3162
340,1618,2433,3165
341,1619,2440,3165
342,1644,2449,3173
343,1656,2459,3190
344,1657,2495,3191
345,1661,2518,3200
346,1661,2535,3214
347,1661,2542,3218
348,1664,2554,3224
349,1696,2558,3234
350,1703,2589,3236
351,1704,2592,3246
352,1726,2593,3254
353,1735,2594,3278
354,1738,2618,3278
355,1739,2620,3298
356,1748,2635,3302
357,1759,2641,3319
358,1761,2646,3343
359,1763,2660,3367
360,1763,2691,3375
361,1771,2693,3378
362,1775,2707,3378
363,1797,2710,3391
364,1819,2730,3404
365,1819,2734,3436
366,1820,2746,3454
367,1823,2757,3455
368,1824,2774,3457
369,1824,2779,3459
370,1824,2817,3467
371,1824,2830,3467
372,1830,2845,3476
373,1857,2874,3482
374,1858,2884,3485
375,1859,2897,3503
376,1859,2903,3518
377,1861,2903,3531
378,1862,2945,3537
379,1863,2965,3537
380,1867,2969,3546
381,1881,2970,3548
382,1881,2971,3579
383,1881,2986,3584
384,1897,2998,3587
385,1897,3019,3593
386,1917,3025,3598
387,1932,3045,3615
388,1944,3063,3617
389,1944,3065,3617
390,1945,3076,3628
391,1960,3092,3628
392,1981,3102,3633
393,1981,3113,3634
394,1981,3117,3654
395,1984,3125,3656
396,1984,3150,3657
397,1984,3150,3658
398,1985,3165,3661
399,1985,3169,3677
400,1996,3173,3678
401,1996,3180,3681
402,1997,3180,3708
403,1997,3180,3708
404,1998,3182,3710
405,1999,3191,3726
406,2000,3196,3729
407,2000,3204,3764
408,2001,3206,3766
409,2013,3233,3785
410,2014,3240,3793
411,2014,3243,3808
412,2018,3264,3810
413,2018,3280,3836
414,2020,3304,3836
415,2020,3306,3836
416,2024,3307,3836
417,2024,3317,3837
418,2036,3318,3846
419,2053,3320,3855
420,2053,3330,3856
421,2053,3343,3877
422,2053,3343,3878
423,2061,3375,3881
424,2062,3386,3889
425,2067,3406,3891
426,2072,3433,3901
427,2084,3453,3901
428,2092,3466,3903
429,2095,3482,3906
430,2096,3486,3906
431,2097,3501,3909
432,2097,3505,3913
433,2114,3519,3914
434,2114,3525,3914
435,2119,3544,3926
436,2122,3572,3932
437,2130,3601,3932
438,2148,3612,3936
439,2166,3617,3942
440,2178,3645,3943
441,2184,3645,3946
442,2188,3662,3949
443,2191,3680,3949
444,2216,3682,3982
445,2216,3695,3987
446,2216,3716,4001
447,2216,3726,4006
448,2216,3741,4007
449,2217,3753,4009
450,2217,3754,4010
451,2222,3766,4010
452,2225,3768,4015
453,2225,3771,4026
454,2229,3783,4046
455,2237,3810,4057
456,2260,3822,4072
457,2260,3832,4101
458,2260,3832,4105
459,2260,3832,4106
460,2260,3847,4118
461,2267,3861,4118
462,2267,3873,4122
463,2273,3911,4136
464,2275,3939,4139
465,2293,3944,4160
466,2304,3952,4165
467,2305,3965,4166
468,2305,3984,4167
469,2305,3988,4170
470,2305,3992,4204
471,2305,4010,4211
472,2305,4022,4219
473,2305,4036,4225
474,2310,4036,4225
475,2314,4038,4230
476,2324,4038,4230
477,2326,4063,4257
478,2331,4080,4259
479,2332,4080,4268
480,2332,4080,4297
481,2343,4082,4303
482,2343,4082,4303
483,2343,4102,4303
484,2343,4115,4303
485,2354,4125,4323
486,2355,4126,4326
487,2355,4156,4330
488,2355,4168,4331
489,2355,4170,4334
490,2355,4170,4340
491,2355,4195,4340
492,2355,4205,4345
493,2373,4222,4350
494,2381,4229,4361
495,2382,4247,4365
