Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3,CUCB
314,14,12,21,28
315,20,17,17,29
316,14,11,18,27
317,11,14,22,20
318,17,16,17,20
319,17,11,19,27
320,20,16,18,23
321,12,17,21,21
322,12,11,20,26
323,12,21,22,20
324,19,25,20,20
325,15,15,18,25
326,14,16,22,22
327,15,17,21,24
328,11,14,17,23
329,20,12,21,24
330,11,12,21,22
331,21,23,16,21
332,11,10,20,25
333,12,22,22,19
334,13,13,18,25
335,13,10,16,30
336,12,19,21,25
337,15,17,18,29
338,16,17,19,20
339,15,20,16,26
340,11,18,17,22
341,15,17,20,25
342,10,11,21,21
343,11,11,18,25
344,13,16,18,24
345,16,12,21,25
346,14,11,21,21
347,20,26,18,19
348,21,13,21,24
349,11,19,20,24
350,14,13,21,27
351,11,19,18,22
352,11,13,22,24
353,20,16,17,22
354,22,11,20,29
355,15,13,20,24
356,16,18,18,23
357,13,20,17,28
358,15,11,18,24
359,13,16,19,24
360,11,17,21,19
361,12,12,23,24
362,17,12,22,24
363,10,15,18,26
364,10,11,24,18
365,12,15,21,20
366,11,15,19,25
367,14,11,20,24
368,20,18,19,24
369,28,10,18,23
370,14,12,22,25
371,19,21,26,21
372,11,18,24,18
373,17,20,21,21
374,15,12,22,21
375,12,10,20,28
376,19,14,23,20
377,13,20,24,20
378,14,15,20,21
379,16,13,20,26
380,13,20,18,18
381,16,14,23,22
382,15,13,20,22
383,14,11,24,23
384,12,12,19,22
385,11,16,18,23
386,12,21,18,20
387,14,21,20,19
388,14,13,24,29
389,14,11,17,21
390,16,16,21,24
391,14,10,20,24
392,12,12,25,27
393,17,16,20,20
394,17,13,19,30
395,21,23,19,23
396,13,22,18,19
397,11,15,24,23
398,18,14,19,19
399,11,12,20,23
400,15,10,28,24
401,11,15,18,26
402,11,19,21,30
403,16,13,17,24
404,19,11,19,28
405,19,15,22,25
406,11,12,21,21
407,17,15,21,24
408,12,15,26,20
409,27,11,18,21
410,17,10,19,23
411,14,11,20,27
412,17,15,18,24
413,15,10,18,23
414,13,12,19,21
415,11,17,20,25
416,14,13,18,19
417,15,14,23,23
418,19,18,19,23
419,21,13,22,30
420,11,23,21,23
421,11,26,21,23
422,11,19,18,31
423,10,20,19,25
424,22,11,18,24
425,23,14,18,34
426,19,15,17,25
427,13,14,21,22
428,13,13,23,20
429,20,24,22,22
430,13,11,18,22
431,14,21,21,19
432,10,16,17,25
433,12,15,25,22
434,17,13,18,25
435,13,23,20,24
436,19,11,18,31
437,14,21,22,20
438,19,14,20,22
439,23,21,22,20
440,10,18,19,19
441,14,11,18,22
442,20,13,31,23
443,14,11,21,22
444,14,22,17,26
445,19,14,18,21
446,17,14,19,25
447,18,10,20,30
448,22,11,23,20
449,15,18,24,26
450,17,11,19,22
451,15,13,18,23
452,14,15,19,25
453,16,21,23,24
454,11,16,23,19
455,14,12,20,23
456,14,15,24,28
457,15,15,20,21
458,17,15,18,22
459,15,17,21,20
460,14,11,20,22
461,24,12,17,25
462,11,10,19,22
463,14,14,19,30
464,14,20,24,21
465,13,15,22,29
466,12,14,20,32
467,10,18,19,23
468,14,12,19,29
469,11,14,20,21
470,12,17,28,20
471,19,18,18,31
472,15,10,19,23
473,22,13,21,20
474,10,15,18,25
475,17,10,21,22
476,13,14,17,19
477,21,11,19,19
478,10,12,22,24
479,15,15,20,25
480,13,20,22,23
481,16,12,17,20
482,11,13,20,24
483,20,17,21,32
484,14,14,19,28
485,11,18,23,26
486,16,11,22,21
487,16,13,25,22
488,12,10,26,25
489,13,15,20,25
490,22,12,21,20
491,10,11,19,24
492,13,16,19,25
493,19,18,23,19
494,14,11,18,20
495,23,11,23,30
496,14,18,20,22
497,11,14,22,29
498,14,14,18,20
499,19,11,17,21
500,13,18,19,22
501,12,20,16,24
502,11,15,21,23
503,11,22,21,27
504,21,17,18,25
505,11,11,20,25
506,17,15,22,23
507,20,12,19,21
508,21,19,16,25
509,18,11,20,29
510,15,16,19,24
511,15,20,22,23
512,14,21,19,21
513,12,13,21,24
