Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
0,5,5,6
1,6,5,5
2,5,5,5
3,8,9,5
4,6,6,5
5,5,5,16
6,10,7,7
7,14,11,11
8,9,11,15
9,5,10,22
10,11,10,17
11,14,15,14
12,10,5,14
13,11,13,6
14,7,6,10
15,10,5,13
16,8,14,25
17,7,9,13
18,5,11,6
19,17,15,10
20,13,9,7
21,13,11,13
22,11,10,10
23,6,6,21
24,10,6,5
25,5,12,8
26,8,7,7
27,14,14,9
28,11,6,22
29,12,6,7
30,8,6,19
31,12,12,21
32,8,8,11
33,5,13,7
34,12,13,8
35,13,8,17
36,6,11,20
37,5,8,8
38,9,5,14
39,13,7,5
40,13,7,13
41,5,6,11
42,8,8,21
43,10,7,15
44,9,9,17
45,15,7,15
46,12,10,6
47,11,5,16
48,17,11,8
49,6,7,16
50,10,8,6
51,10,5,16
52,20,7,7
53,10,5,22
54,5,5,18
55,8,13,5
56,8,5,20
57,5,5,5
58,13,8,6
59,13,8,15
60,9,6,11
61,9,7,17
62,10,15,7
63,11,9,5
64,7,8,19
65,11,5,5
66,8,9,14
67,7,5,12
68,7,5,24
69,13,5,15
70,8,10,8
71,8,6,6
72,9,12,14
73,10,8,22
74,10,16,5
75,10,5,7
76,9,5,23
77,7,7,14
78,11,7,10
79,5,10,12
80,14,12,10
81,20,5,7
82,15,6,11
83,10,6,19
84,8,5,5
85,9,12,16
86,8,10,6
87,16,5,6
88,17,12,5
89,6,6,7
90,16,7,5
91,7,7,10
92,14,8,5
93,9,5,9
94,12,6,6
95,7,7,10
96,25,5,6
97,11,11,6
98,7,6,6
99,7,5,8
100,16,7,20
101,11,10,7
102,10,6,9
103,27,5,6
104,16,8,15
105,12,6,20
106,6,9,18
107,14,5,10
108,13,5,15
109,11,7,15
110,11,7,10
111,14,14,9
112,11,8,5
113,17,7,17
114,20,9,22
115,7,7,5
116,13,11,7
117,6,6,19
118,10,5,15
119,6,11,18
120,17,5,6
121,11,5,5
122,18,11,9
123,10,8,5
124,11,8,12
125,10,5,5
126,8,12,14
127,12,5,8
128,18,7,10
129,11,5,12
130,10,5,9
131,11,8,13
132,6,7,14
133,17,7,16
134,8,5,7
135,5,8,8
136,11,6,6
137,18,7,6
138,10,6,12
139,8,11,16
140,9,6,11
141,16,5,5
142,17,5,10
143,8,6,5
144,15,5,17
145,13,5,19
146,7,7,6
147,12,5,9
148,9,6,20
149,11,7,7
150,8,5,8
151,8,5,9
152,17,12,11
153,19,11,13
154,12,6,13
155,10,5,14
156,11,6,14
157,7,5,5
158,8,8,15
159,16,7,5
160,8,5,9
161,14,9,17
162,9,7,6
163,5,5,11
164,17,8,5
165,11,6,8
166,27,7,10
167,13,10,8
168,12,12,6
169,10,6,6
170,7,5,21
171,24,9,11
172,19,5,10
173,14,6,6
174,15,5,6
175,5,5,5
176,12,8,11
177,17,13,13
178,11,6,6
179,11,6,5
180,12,17,7
181,11,8,7
182,13,5,6
183,7,5,13
184,9,6,6
185,18,5,15
186,13,6,11
187,5,8,5
188,21,7,10
189,5,12,5
190,5,11,13
191,18,7,6
192,10,7,9
193,10,13,5
194,18,14,18
195,10,5,7
196,9,5,11
197,10,7,12
198,7,6,14
199,13,9,7
200,12,5,12
201,14,14,6
202,7,6,16
203,14,12,12
204,6,5,6
205,6,10,17
206,5,6,7
207,8,13,6
208,7,10,17
209,10,7,9
210,11,5,6
211,12,8,10
212,14,7,5
213,19,5,6
214,7,11,6
215,9,6,6
216,14,11,10
217,5,5,5
218,15,5,10
219,5,9,7
220,15,6,25
221,5,12,14
222,7,12,16
223,18,6,9
224,6,5,14
225,9,6,13
226,5,5,16
227,7,11,10
228,12,7,13
229,19,8,6
230,17,5,18
231,10,8,11
232,14,6,7
233,9,5,5
234,23,6,12
235,15,5,17
236,10,5,12
237,6,9,5
238,12,5,6
239,7,7,8
240,17,5,15
241,5,5,12
242,5,7,21
243,10,10,11
244,11,8,15
245,16,6,5
246,10,13,9
247,5,6,7
248,13,5,6
249,28,8,14
250,23,5,12
251,19,6,18
252,19,6,25
253,10,5,5
254,6,6,14
255,22,5,12
256,31,5,10
257,18,6,7
258,7,9,13
259,15,10,11
260,13,6,15
261,7,6,12
262,11,6,6
263,14,11,15
264,14,5,15
265,8,6,14
266,12,8,10
267,15,6,14
268,10,9,9
269,20,9,16
270,17,6,9
271,14,7,23
272,12,6,16
273,6,7,11
274,11,5,9
275,18,11,14
276,22,5,25
277,9,5,10
278,6,7,14
279,10,5,15
280,7,5,11
281,6,5,20
282,9,8,6
283,16,6,7
284,5,7,12
285,7,11,27
286,7,5,8
287,11,7,6
288,5,9,20
289,20,8,14
290,19,5,11
291,5,6,10
292,6,6,19
293,6,7,24
294,10,7,13
295,11,12,17
296,14,5,11
297,9,6,19
298,10,6,9
299,14,5,12
300,5,12,8
301,13,6,8
302,8,7,20
303,5,5,10
304,10,5,6
305,8,5,9
306,12,6,13
307,18,7,15
308,5,6,11
309,13,15,14
310,24,6,16
311,5,5,21
312,13,8,7
313,10,5,12
314,18,5,18
315,6,14,14
316,16,8,14
317,17,7,17
318,7,5,12
319,21,5,12
320,23,6,15
321,19,6,10
322,10,5,12
323,16,11,10
324,8,6,11
325,30,5,20
326,13,7,14
327,5,10,12
328,11,5,5
329,6,7,16
330,5,6,7
331,10,6,9
332,11,5,16
333,13,6,15
334,18,5,19
335,20,6,11
336,5,6,10
337,18,5,12
338,22,5,15
339,15,5,6
340,24,5,19
341,5,5,13
342,10,7,9
343,9,10,17
344,21,7,19
345,6,5,13
346,13,5,11
347,15,6,16
348,24,5,17
349,12,6,8
350,15,5,12
351,8,7,16
352,26,6,11
353,7,5,22
354,20,13,16
355,11,5,8
356,11,10,12
357,6,7,18
358,12,5,16
359,11,5,16
360,11,5,14
361,11,7,6
362,10,7,12
363,12,5,19
364,5,7,11
365,22,7,9
366,21,7,7
367,8,6,16
368,18,7,20
369,16,5,13
370,15,12,5
371,19,6,5
372,11,8,10
373,14,9,14
374,12,5,16
375,11,5,7
376,13,6,20
377,10,6,10
378,5,5,6
379,15,5,10
380,16,5,7
381,12,5,7
382,5,5,11
383,17,5,7
384,11,7,14
385,15,5,12
386,17,8,15
387,14,6,6
388,8,6,13
389,11,6,5
390,10,6,16
391,10,5,17
392,7,6,6
393,7,6,10
394,17,10,6
395,10,8,7
396,10,6,6
397,13,5,20
398,13,5,7
399,19,10,6
400,12,6,9
401,5,5,5
402,19,10,12
403,7,6,6
404,21,5,6
405,9,5,20
406,8,5,7
407,18,6,7
408,10,5,5
409,6,5,12
410,8,5,6
411,11,5,15
412,7,6,8
413,7,10,5
414,22,5,7
415,30,6,6
416,15,5,11
417,5,11,7
418,5,6,17
419,18,6,7
420,7,7,5
421,11,6,5
422,9,5,12
423,9,6,5
424,8,5,7
425,12,5,8
426,8,12,5
427,12,6,5
428,5,5,6
429,8,6,6
430,11,5,10
431,5,6,6
432,15,5,5
433,16,5,5
434,13,6,8
435,20,7,13
436,23,6,6
437,11,7,5
438,11,8,8
439,7,6,7
440,17,5,8
441,13,7,7
442,11,5,12
443,7,5,19
444,20,5,10
445,11,8,10
446,6,8,5
447,12,5,13
448,15,5,8
449,6,5,10
450,15,6,7
451,5,5,5
452,8,11,5
453,19,5,5
454,15,5,6
455,8,6,6
456,7,7,13
457,12,5,6
458,14,11,13
459,14,5,7
460,11,5,7
461,9,5,7
462,16,5,8
463,15,5,8
464,7,6,5
465,6,6,10
466,15,6,5
467,16,5,7
468,21,5,5
469,21,6,9
470,5,10,11
471,7,6,7
472,20,5,6
473,17,5,12
474,15,5,6
475,6,5,16
476,12,11,10
477,15,11,13
478,11,6,5
479,9,6,5
480,13,6,7
481,11,6,22
482,5,5,5
483,7,5,13
484,8,5,9
485,7,5,5
486,5,5,8
487,11,5,6
488,34,5,5
489,7,6,5
490,20,5,6
491,7,5,12
492,7,12,5
493,12,5,9
494,13,7,18
495,14,6,6
496,6,6,6
497,6,6,5
498,7,5,6
499,14,5,6
500,9,6,11
501,18,5,6
502,12,6,8
503,12,5,18
504,17,5,18
505,19,5,10
506,19,5,7
507,16,5,5
508,13,6,7
509,11,5,5
510,5,5,6
511,9,11,8
512,9,6,5
513,11,5,16
514,12,5,5
515,8,6,16
516,5,5,5
517,9,10,5
518,6,7,7
519,6,5,6
520,7,6,9
521,29,7,17
522,14,8,7
523,11,5,6
524,20,7,6
525,21,6,7
526,19,5,6
527,15,5,12
528,8,6,5
529,11,13,11
530,8,5,6
531,13,5,10
532,17,6,5
533,7,5,7
534,13,5,6
535,5,6,5
536,12,6,8
537,12,6,7
538,10,5,6
539,8,7,13
540,11,6,6
541,13,6,7
542,12,7,7
543,6,6,15
544,10,14,8
545,12,6,7
546,8,5,15
547,5,12,11
548,11,5,8
549,7,5,12
550,14,6,12
551,5,5,5
552,8,6,5
553,10,5,8
554,6,9,8
555,10,6,8
556,12,7,18
557,9,7,9
558,9,7,6
559,6,5,11
560,18,9,10
561,10,10,7
562,7,5,5
563,6,6,6
564,8,5,6
565,15,6,6
566,13,5,7
567,18,5,5
568,6,6,7
569,15,5,10
570,7,5,14
571,12,5,5
572,9,5,15
573,8,5,13
574,8,8,11
575,10,6,8
576,5,5,17
577,9,5,16
578,8,5,5
579,9,5,8
580,6,5,14
581,10,5,6
582,17,6,14
583,21,5,6
584,5,5,6
585,9,5,6
586,8,5,6
587,18,7,10
588,9,11,5
589,21,6,11
590,8,6,5
591,10,7,6
592,19,6,9
593,11,6,5
594,18,18,7
595,6,7,5
596,8,7,8
597,5,5,5
598,5,11,6
599,10,7,8
600,7,5,6
601,7,5,6
602,8,8,15
603,5,6,6
604,5,5,9
605,12,5,5
606,7,5,14
607,7,5,8
608,15,5,6
609,5,6,6
610,18,13,5
611,9,11,5
612,11,5,5
613,8,5,6
614,12,6,7
615,15,18,8
616,10,5,14
617,12,8,5
618,10,5,7
619,13,7,6
620,5,6,5
621,12,14,5
622,6,5,20
623,18,7,14
624,6,8,10
625,18,14,6
626,6,5,5
627,10,6,17
628,18,5,23
629,6,6,5
630,9,20,6
631,13,10,5
632,7,5,13
633,14,6,6
634,7,10,5
635,10,5,5
636,11,16,10
637,6,8,13
638,12,5,7
639,5,5,15
640,15,9,5
641,16,5,6
642,5,5,5
643,5,6,5
644,7,6,6
645,13,7,13
646,7,5,9
647,11,5,5
648,5,5,11
649,7,6,9
650,22,7,11
651,5,11,7
652,10,14,9
653,23,7,5
654,5,5,6
655,11,6,5
656,6,6,7
657,6,5,5
658,13,6,5
659,17,9,10
660,13,8,8
661,15,5,7
662,8,6,6
663,5,5,8
664,9,5,7
665,7,10,5
666,5,5,6
667,15,13,5
668,16,6,6
669,12,10,17
670,6,9,16
671,7,7,13
672,17,6,14
673,7,14,6
674,15,9,5
675,7,7,9
