Time(Iteration),CUCB,CUCB_Attack
0,276,290
1,257,288
2,272,280
3,275,282
4,276,285
5,284,271
6,285,299
7,291,296
8,278,299
9,276,296
10,289,306
11,306,299
12,301,301
13,310,306
14,305,305
15,313,304
16,294,316
17,307,305
18,313,324
19,309,310
20,314,317
21,315,321
22,318,319
23,303,314
24,321,331
25,310,307
26,310,324
27,324,324
28,312,323
29,323,330
30,320,330
31,317,317
32,305,328
33,314,336
34,317,324
35,317,330
36,315,326
37,319,330
38,318,345
39,315,347
40,312,340
41,317,335
42,322,322
43,312,344
44,314,332
45,324,340
46,308,335
47,322,344
48,321,328
49,315,334
50,305,347
51,325,331
52,321,341
53,316,329
54,308,340
55,314,343
56,312,332
57,313,358
58,321,334
59,314,334
60,319,344
61,322,346
62,326,338
63,313,337
64,313,360
65,307,340
66,310,346
67,314,339
68,314,343
69,316,342
70,310,353
71,316,339
72,309,352
73,325,348
74,311,345
75,314,338
76,318,349
77,319,356
78,326,351
79,312,352
80,319,352
81,317,359
82,312,351
83,312,363
84,325,346
85,315,348
86,308,335
87,317,344
88,311,356
89,313,348
90,322,358
91,317,348
92,312,359
93,316,367
94,319,343
95,325,353
96,321,350
97,313,345
98,316,359
99,322,357
100,328,349
101,317,355
102,311,355
103,319,338
104,318,335
105,314,352
106,300,338
107,313,358
108,306,346
109,316,371
110,320,362
111,321,362
112,310,364
113,318,347
114,314,357
115,310,345
116,310,369
117,316,347
118,320,347
119,323,349
120,325,347
121,327,338
122,313,354
123,324,357
124,315,353
125,317,351
126,314,353
127,311,352
128,317,349
129,318,342
130,308,348
131,320,336
132,315,347
133,307,319
134,326,335
135,314,358
136,317,349
137,311,356
138,313,348
139,313,350
140,318,349
141,315,349
142,318,341
143,309,353
144,317,370
145,325,371
146,306,338
147,315,354
148,322,370
149,318,348
150,309,372
151,316,370
152,309,355
153,319,357
154,311,368
155,315,343
156,312,369
157,316,367
158,321,368
159,320,374
160,307,348
161,310,365
162,311,356
163,312,360
164,321,363
165,313,382
166,322,366
167,321,367
168,325,376
169,322,362
170,322,359
171,309,361
172,321,368
173,315,365
174,316,382
175,321,345
176,322,356
177,314,370
178,333,358
179,317,378
180,327,359
181,333,370
182,321,361
183,316,366
184,322,363
185,327,369
186,324,375
187,325,369
188,322,348
189,332,376
190,325,371
191,324,355
192,316,360
193,324,371
194,317,357
195,320,377
196,315,369
197,321,360
198,319,363
199,325,335
