Time(Iteration),CascadeUCB-V-Attack,CascadeUCB1-Attack,CascadeKLUCB-Attack
0,1,1,1
1,2,2,2
2,3,3,2
3,3,3,2
4,3,3,2
5,3,3,2
6,3,3,2
7,3,3,2
8,3,3,2
9,3,3,2
10,3,3,2
11,4.0,3.0,3.0000299999999998
12,4.0,4.0,4.00012
13,5.0,5.0,4.00022
14,6.0,6.0,4.000319999999999
15,7.0,7.0,4.000419999999999
16,8.0,7.0,4.000519999999999
17,8.0,8.0,4.000619999999999
18,8.0,8.0,4.0007199999999985
19,9.0,8.0,4.000819999999998
20,10.0,8.0,4.000899999999998
21,10.0,8.0,4.000919999999998
22,11.0,8.0,5.000959999999998
23,11.0,8.0,5.001059999999998
24,11.0,8.0,5.001159999999998
25,12.0,8.0,5.001259999999998
26,13.0,8.0,5.001359999999997
27,14.0,8.0,5.001459999999997
28,14.0,9.0,5.001559999999997
29,15.0,10.0,5.001659999999997
30,16.0,10.0,5.001759999999996
31,17.0,10.0,5.001799999999997
32,18.0,10.0,6.001819999999997
33,19.0,10.0,7.001879999999997
34,20.0,10.0,8.001979999999998
35,21.0,10.0,8.002079999999998
36,21.0,10.0,8.002179999999997
37,22.0,10.0,8.002279999999997
38,23.0,10.0,8.002379999999997
39,24.0,10.0,8.002479999999997
40,25.0,10.0,8.002579999999996
41,26.0,10.0,8.002679999999996
42,27.0,10.0,8.002699999999995
43,28.0,10.0,9.002729999999996
44,29.0,10.0,9.002829999999996
45,30.0,10.0,9.002929999999996
46,30.0,10.0,9.003029999999995
47,31.0,10.0,9.003129999999995
48,32.0,10.0,9.003229999999995
49,33.0,10.0,9.003329999999995
50,34.0,10.0,9.003429999999994
51,35.0,10.0,9.003529999999994
52,35.0,10.0,9.003599999999993
53,36.0,10.0,9.003629999999994
54,37.0,11.0,10.003679999999994
55,38.0,12.0,11.003779999999994
56,39.0,13.0,11.003879999999993
57,40.0,13.0,11.003979999999993
58,40.0,13.0,11.004079999999993
59,40.0,13.0,11.004179999999993
60,41.0,13.0,11.004279999999993
61,41.0,13.0,11.004379999999992
62,42.0,13.0,11.004479999999992
63,43.0,13.0,11.004499999999991
