Time(Iteration),CUCB,CUCB_Attack
0,279,264
1,225,240
2,261,272
3,218,279
4,223,325
5,274,366
6,226,308
7,231,337
8,254,330
9,216,309
10,250,317
11,287,319
12,225,314
13,260,326
14,240,288
15,239,313
16,252,345
17,268,344
18,247,342
19,249,326
20,247,312
21,235,327
22,242,308
23,261,330
24,246,324
25,268,376
26,248,361
27,266,308
28,277,355
29,256,335
30,258,366
31,252,304
32,255,347
33,218,376
34,242,322
35,248,338
36,233,339
37,257,329
38,276,344
39,242,316
40,251,339
41,226,323
42,272,344
43,264,313
44,261,334
45,259,306
46,222,312
47,268,315
48,253,317
49,252,333
50,256,325
51,263,309
52,286,321
53,283,331
54,256,355
55,275,312
56,253,318
57,264,303
58,249,316
59,211,313
60,259,345
61,241,297
62,269,301
63,258,325
64,256,325
65,216,346
66,241,326
67,268,284
68,283,307
69,293,302
70,262,293
71,276,290
72,220,300
73,237,298
74,257,304
75,231,315
76,245,320
77,253,330
78,270,312
79,267,294
80,249,304
81,248,302
82,237,321
83,275,297
84,230,301
85,261,297
86,259,296
87,230,339
88,274,309
89,270,284
90,285,285
91,264,282
92,257,288
93,254,327
94,260,289
95,253,309
96,237,308
97,261,318
98,257,315
99,250,311
100,312,345
101,249,288
102,260,308
103,257,313
104,257,298
105,259,300
106,245,285
107,259,345
108,262,291
109,248,319
110,256,313
111,240,305
112,283,303
113,238,324
114,254,299
115,277,317
116,265,300
117,260,305
118,261,270
119,228,298
120,251,334
121,277,291
122,224,318
123,232,333
124,270,296
125,250,264
126,285,267
127,227,322
128,248,298
129,276,309
130,248,320
131,233,293
132,227,332
133,231,291
134,250,274
135,228,293
136,237,298
137,267,288
138,269,314
139,250,298
140,282,301
141,227,292
142,254,295
143,256,266
144,263,315
145,251,269
146,238,289
147,267,301
148,284,274
149,276,286
150,257,280
151,250,293
152,230,276
153,236,297
154,236,302
155,256,307
156,290,296
157,245,336
158,204,285
159,276,329
160,239,274
161,256,283
162,266,287
163,232,289
164,250,265
165,250,292
166,252,257
167,255,303
168,265,273
169,244,273
170,263,321
171,261,273
172,264,274
173,266,294
174,243,286
175,273,291
176,234,274
177,267,275
178,273,313
179,266,310
180,252,276
181,225,273
182,234,298
183,249,322
184,268,257
185,241,303
186,249,299
187,267,293
188,269,262
189,293,287
190,287,313
191,274,292
192,214,292
193,288,275
194,253,277
195,272,291
196,252,276
197,238,290
198,258,289
199,283,301
