Time(Iteration),CascadeUCB-V-Attack,CascadeUCB1-Attack,CascadeKLUCB-Attack
0,1,1,1
1,2,2,2
2,2,3,2
3,2,3,2
4,2,3,2
5,2,3,2
6,2,3,2
7,2,3,2
8,2,3,2
9,2,3,2
10,2,3,2.00002
11,2.0,3,3.00005
12,3.0,3,4.00012
13,4.0,4.0,4.00022
14,4.0,5.0,4.000319999999999
15,5.0,6.0,4.000419999999999
16,6.0,6.0,4.000519999999999
17,7.0,7.0,4.000619999999999
18,8.0,8.0,4.0007199999999985
19,9.0,9.0,4.000819999999998
20,10.0,10.0,4.000899999999998
21,11.0,10.0,4.000919999999998
22,11.0,10.0,5.000949999999998
23,12.0,10.0,6.001019999999998
24,13.0,10.0,6.001119999999998
25,14.0,10.0,6.001219999999997
26,15.0,10.0,6.001319999999997
27,16.0,10.0,6.001419999999997
28,17.0,11.0,6.001519999999997
29,18.0,12.0,6.001619999999996
30,19.0,12.0,6.001719999999996
31,20.0,12.0,6.001799999999996
32,21.0,12.0,6.001819999999996
33,22.0,12.0,7.001849999999996
34,23.0,12.0,8.001919999999995
35,24.0,12.0,8.002019999999995
36,25.0,12.0,8.002119999999994
37,26.0,12.0,8.002219999999994
38,27.0,12.0,8.002319999999994
39,28.0,12.0,8.002419999999994
40,29.0,12.0,8.002519999999993
41,30.0,12.0,8.002619999999993
42,30.0,12.0,8.002699999999994
43,31.0,12.0,8.002719999999993
44,32.0,12.0,8.002819999999993
45,33.0,12.0,8.002919999999992
46,34.0,12.0,8.003019999999992
47,35.0,12.0,8.003119999999992
48,36.0,12.0,8.003219999999992
49,37.0,12.0,8.003319999999992
50,38.0,12.0,8.003419999999991
51,39.0,12.0,8.003519999999991
52,39.0,12.0,8.003599999999992
53,40.0,12.0,8.00361999999999
54,41.0,13.0,9.003649999999991
55,42.0,14.0,9.003749999999991
56,43.0,14.0,9.003849999999991
57,44.0,14.0,9.00394999999999
58,45.0,14.0,9.00404999999999
59,46.0,14.0,9.00414999999999
60,47.0,14.0,9.00424999999999
61,48.0,14.0,9.00434999999999
62,48.0,14.0,9.00444999999999
63,48.0,14.0,9.00449999999999
