Time(Iteration),CUCB,CUCB_Attack
0,278,266
1,257,297
2,273,260
3,266,273
4,285,291
5,290,268
6,294,277
7,307,268
8,302,296
9,299,261
10,319,286
11,318,274
12,311,307
13,319,304
14,311,301
15,307,305
16,304,306
17,306,307
18,307,294
19,310,303
20,315,320
21,318,309
22,316,295
23,316,302
24,318,305
25,325,297
26,325,334
27,317,313
28,309,325
29,312,325
30,315,316
31,315,316
32,317,319
33,309,321
34,326,330
35,322,327
36,318,331
37,316,330
38,329,319
39,324,330
40,318,323
41,317,316
42,312,335
43,321,338
44,318,337
45,323,332
46,321,327
47,331,341
48,318,327
49,312,321
50,307,330
51,311,329
52,323,323
53,313,330
54,325,316
55,316,327
56,321,343
57,312,337
58,327,325
59,318,336
60,321,323
61,321,332
62,324,329
63,318,334
64,316,327
65,313,338
66,319,333
67,325,340
68,320,331
69,316,328
70,313,324
71,319,327
72,316,342
73,322,323
74,319,338
75,317,333
76,313,340
77,323,333
78,306,336
79,325,342
80,313,330
81,319,325
82,313,329
83,319,329
84,328,344
85,324,341
86,316,340
87,322,344
88,314,338
89,318,340
90,314,331
91,324,321
92,307,321
93,317,337
94,324,340
95,322,334
96,311,334
97,313,336
98,320,345
99,316,315
100,315,328
101,316,323
102,316,355
103,314,330
104,322,337
105,318,336
106,323,334
107,323,342
108,318,339
109,323,325
110,309,326
111,319,361
112,314,326
113,314,343
114,315,344
115,318,335
116,318,344
117,335,343
118,317,329
119,323,337
120,321,335
121,319,343
122,320,352
123,318,343
124,322,360
125,324,342
126,317,348
127,317,354
128,319,338
129,318,357
130,323,306
131,314,326
132,312,339
133,317,333
134,317,316
135,322,321
136,314,317
137,323,328
138,319,304
139,316,327
140,317,307
141,325,324
142,320,338
143,316,342
144,318,338
145,327,326
146,315,327
147,322,351
148,317,318
149,321,330
150,338,343
151,316,322
152,315,355
153,324,336
154,310,359
155,322,361
156,322,331
157,320,353
158,324,351
159,325,361
160,320,338
161,317,331
162,323,340
163,316,363
164,323,333
165,315,348
166,318,335
167,312,351
168,307,355
169,311,329
170,322,330
171,322,339
172,322,333
173,310,349
174,316,339
175,322,347
176,312,364
177,319,339
178,326,362
179,328,376
180,320,369
181,298,364
182,315,352
183,320,367
184,325,326
185,321,361
186,318,367
187,313,325
188,318,376
189,316,352
190,319,333
191,325,372
192,321,360
193,318,368
194,317,333
195,322,372
196,322,366
197,314,367
198,318,347
199,324,335
