Time(Iteration),CascadeUCB-V-Attack,CascadeUCB1-Attack,CascadeKLUCB-Attack,CascadeUCB-V,CascadeUCB1,CascadeKLUCB
0,0.04928015491153007,0.04928015491153007,0.04928015491153007,0.04928015491153007,0.04928015491153007,0.04928015491153007
1,0.11383063998043885,0.11383063998043885,0.0921919193697684,0.10747763826514908,0.06922722350475344,0.09313472468393266
2,0.15674240443867718,0.13155207375168515,0.10871817981829206,0.15848649248028607,0.10107766271926666,0.10966098513245633
3,0.17184272980945753,0.163258374341397,0.14968502822596513,0.1782674054440238,0.14419877005665963,0.1506278335401294
4,0.21639603078524997,0.2102145518709075,0.18457203080723603,0.21149670516845076,0.19825842144534786,0.1855148361214003
5,0.2586227145765351,0.26397019433037966,0.24155726770911004,0.2536260040760196,0.23390605095233424,0.2425000730232743
6,0.2999009496955287,0.3005180447819076,0.2689598778703064,0.3070878259473953,0.26159724276619806,0.26990268318447064
7,0.33053351713344375,0.32655144013722315,0.3089755870360737,0.3317112618805498,0.3094841161864353,0.30991839235023794
8,0.3696491260298992,0.37727362063480646,0.362062565338253,0.37292393364835763,0.363700914662258,0.3630053706524172
9,0.42870991184737156,0.4223222465777885,0.38506522143606176,0.42611054280745075,0.38975881242579546,0.386008026750226
10,0.4543923292646797,0.44615821999848804,0.4365481400661749,0.46407973020876503,0.43903896733732556,0.43922813632461627
11,0.5063527003966031,0.49543837491001813,0.4888385368314758,0.49555975730806306,0.48831912224885565,0.48929313124682783
12,0.5556328553081331,0.5447185298215482,0.504212641601185,0.5470426759381761,0.5375992771603857,0.5393581261690393
13,0.6049130102196631,0.609269014890457,0.5694563834989412,0.5963228308497062,0.6021497622292945,0.5959630648872848
14,0.6541931651311932,0.6585491698019871,0.6322073574467544,0.6456029857612362,0.6514299171408245,0.6400070869475604
15,0.7034733200427232,0.7097754427449634,0.6687552078982822,0.6948831406727662,0.7007100720523546,0.6581734577969742
16,0.7527534749542533,0.7526872072032017,0.6947886032535978,0.7441632955842963,0.7411187125499024,0.6898756047677503
17,0.8020336298657833,0.79559897166144,0.7455107837511812,0.7934434504958263,0.7840304770081407,0.735569663925022
18,0.8513137847773133,0.8155460402546634,0.8008158681178095,0.8427236054073564,0.826942241466379,0.7904362679421616
19,0.9005939396888434,0.8332674740259096,0.8216034901998599,0.8920037603188864,0.8438632382388827,0.8238437793646305
20,0.9498740946003734,0.8480059230485321,0.8431048348434158,0.9412839152304164,0.8646314214247222,0.8486567132901199
21,0.9991542495119035,0.8631062484193124,0.9023168368799114,0.9905640701419465,0.8811576818732458,0.9015333526917941
22,1.0484344044234335,0.8949566876338256,0.9253731810054229,1.0398442250534765,0.8943262430603196,0.944804749271038
23,1.0977145593349635,0.9266629882235375,0.9670606394996297,1.0891243799650066,0.9261766822748329,0.9799107492711809
24,1.1469947142464936,0.9717731509984069,1.0261490777126308,1.1384045348765366,0.9594059819992597,1.0262772433359362
25,1.1962748691580236,1.0163264519741992,1.0696146604383665,1.1876846897880666,1.0003728304069328,1.0764224069804655
26,1.2455550240695537,1.0594475593115922,1.1036442762069236,1.2369648446995967,1.0454829931818022,1.0970494076344885
27,1.2948351789810837,1.1064037368411026,1.137368739787151,1.2862449996111267,1.088604100519195,1.1302787073589156
28,1.3441153338926137,1.1556838917526326,1.2058689398286737,1.3355251545226567,1.143903478825164,1.1724080062664843
29,1.3933954888041438,1.198595656210871,1.24229213103064,1.3848053094341868,1.1629085675206747,1.22586982813786
30,1.4426756437156738,1.2151219166593947,1.2576875813258503,1.4340854643457168,1.1891846125755676,1.2504932640710145
31,1.5072261287845825,1.2560887650670678,1.3008013682751667,1.4833656192572469,1.2154606576304605,1.2917059358388223
32,1.5717766138534912,1.2909757676483387,1.3595297438378389,1.532645774168777,1.2598822561974492,1.3448925449979154
33,1.6210567687650212,1.3310953221891324,1.3816553290135016,1.581925929080307,1.3065694743061556,1.3828617323992298
34,1.68560725383393,1.3733220059804174,1.431120633717612,1.631206083991837,1.3414564768874264,1.4185608009076371
35,1.7501577389028387,1.4273816573691056,1.4901750341093027,1.680486238903367,1.3815760314282202,1.4710927569690635
36,1.8147082239717474,1.4811372998285777,1.5266683126763712,1.729766393814897,1.4339776702517475,1.5135416341572556
37,1.879258709040656,1.5381225367304516,1.553875127303542,1.779046548726427,1.4757030405181009,1.5297770318481805
38,1.9438091941095648,1.5815881194561874,1.6014061819445062,1.8283267036379571,1.53641485148569,1.5686393550651052
39,1.9930893490210948,1.6228663545751811,1.6659850570576566,1.8776068585494872,1.5934000883875639,1.618916999540271
40,2.0512868323747138,1.6585139840821674,1.6918553372745537,1.9268870134610172,1.6503853252894378,1.659042587334412
41,2.109484315728333,1.6950618345336954,1.7072630779988593,1.9761671683725472,1.7073705621913118,1.6905201948680117
42,2.158429731622907,1.7224644446948918,1.7654605613524783,2.0254473232840775,1.7438638407583802,1.730936862770891
43,2.207375147517481,1.756494060463449,1.8113197266125851,2.0747274781956078,1.7650751395175874,1.7823046415042367
44,2.2563205634120553,1.787126627901364,1.8317745475511593,2.124007633107138,1.7924777496787838,1.8111664888424406
45,2.3052659793066295,1.8148178197152278,1.8908587126516245,2.1732877880186683,1.8198803598399802,1.8705987364344456
46,2.3545461342181597,1.8408512150705434,1.9487550639160351,2.2225679429301985,1.8472829700011766,1.9218613947326624
47,2.405772407161136,1.8808669242363107,1.9733784998491897,2.271848097841729,1.8744897846283475,1.9585335086830689
48,2.4569986801041126,1.9145913878165381,2.0145911716169977,2.321128252753259,1.9139414576307496,1.9775385973785795
49,2.508224953047089,1.9537069967129936,2.067777780776091,2.3704084076647893,1.953957166796517,2.0154620324360493
50,2.5594512259900655,2.001593870133231,2.1042240370960985,2.4196885625763196,1.9939728759622843,2.0575913313436183
51,2.6104600802052023,2.0523160506308145,2.126236055097541,2.46896871748785,2.0339885851280517,2.111053153214994
52,2.661468934420339,2.1054030289329937,2.1606727354241455,2.51824887239938,2.0815196397690157,2.1356765891481486
53,2.712477788635476,2.1633735756983596,2.2188702187777647,2.5675290273109104,2.133077080763173,2.1768892609159565
54,2.761757943547006,2.21265373060989,2.2647293840378713,2.6168091822224406,2.188376459069142,2.2300758700750496
55,2.8199554269006253,2.2636625848250267,2.2824699847242673,2.666089337133971,2.241076728091729,2.268045057476364
56,2.870964281115762,2.281384018596273,2.3504120736461744,2.715369492045501,2.2624222408111465,2.30818186199524
57,2.921973135330899,2.313090319185985,2.4135472094387205,2.7646496469570314,2.2933561665386377,2.3538001960777906
58,2.9729819895460357,2.3600464967154955,2.4347585081979277,2.8139298018685617,2.3390502256959094,2.3729865060744726
59,3.0168365593184383,2.4138021391749676,2.4742101812003297,2.863209956780092,2.3813753897692336,2.4046886530452487
60,3.060691129090841,2.4503499896264955,2.525767622194487,2.912490111691622,2.430792985337813,2.448126600196962
61,3.1045456988632436,2.476383384981811,2.561665928549245,2.9617702666031525,2.4664406148447995,2.501882242656434
62,3.147457463321482,2.5271055654793946,2.588336962885388,3.0110504215146827,2.4941318066586633,2.538430093107962
63,3.19036922777972,2.586166351296867,2.6183964954939123,3.060330576426213,2.5420186800789004,2.5644634884632778
64,3.2396493826912502,2.6403831497726897,2.6677458242806424,3.1096107313377432,2.5951056583810796,2.6151856689608612
65,3.2825611471494884,2.6854317757156716,2.6854864249670385,3.1588908862492735,2.648192636683259,2.660234294903843
66,3.3254729116077266,2.7304804016586535,2.7534285138889456,3.2081710411608038,2.701279614985438,2.690717146831933
67,3.368384676065965,2.7534830577564624,2.8165636496814916,3.257451196072334,2.757066230475754,2.74749229496043
68,3.406211186741244,2.77921231390977,2.837774948440699,3.3067313509838643,2.8112830289515767,2.793371571225437
69,3.4440376974165234,2.804894731327078,2.877226621443101,3.3560115058953945,2.8565545409797632,2.813489535213071
70,3.4724964851348825,2.8309526290906155,2.9287840624372583,3.405291660806925,2.879557197077572,2.832956604567385
71,3.5009552728532416,2.854788602511315,2.9646823687920163,3.454571815718455,2.9104928761606357,2.8499249323983835
72,3.520902341446465,2.885934124604168,2.991353403128159,3.5191223007873638,2.9334955322584446,2.8918710109740635
73,3.540849410039688,2.9506248079877784,3.0214129357366835,3.568402455698894,2.9617331579355453,2.9319905655148575
74,3.5607964786329114,3.0198762064152285,3.0707622645234136,3.6329529407678027,2.9877910556990828,2.9754561482405935
75,3.5807435472261346,3.0667067259861613,3.088307774325662,3.6975034258367114,3.0228529214870745,3.0094857640091504
76,3.630023702137665,3.086651704932274,3.1553598205125613,3.76205391090562,3.0559161865861797,3.0432102275893778
77,3.658482489856024,3.1162008876970004,3.2178337252374725,3.826604395974529,3.105513426311384,3.1011807743547437
78,3.6784295584492472,3.163069072378455,3.2512412366599412,3.8911548810434375,3.1318899923231704,3.1269100305080513
79,3.6961509922204936,3.223780883346044,3.2760541705854305,3.9557053661123462,3.1603974656651963,3.190386873224381
80,3.716156410327045,3.244992182105251,3.3289308099871047,4.020255851181255,3.206091524822468,3.247750514276084
81,3.7361618284335965,3.284443855107653,3.3657489425458547,4.078016725169816,3.2605133053168887,3.2877817649860352
82,3.756167246540148,3.3360012961018106,3.3962841583009,4.135777599158376,3.281724604076096,3.3005359937802465
83,3.7761726646466993,3.381272808129997,3.4210018616475235,4.180787989468153,3.321176277078498,3.3415028421879196
84,3.794168747062271,3.408404976010996,3.4732922584128243,4.229733405362728,3.3727337180726553,3.3735820078070344
85,3.8108977077197386,3.435537143891995,3.4886663631825336,4.278678821257302,3.418005230100842,3.4253452970750224
86,3.827626668377206,3.4843594142765193,3.55391010508029,4.327624237151877,3.4483425816170006,3.4465565958342297
87,3.8443556290346734,3.5008155424989487,3.616661079028103,4.3765696530464515,3.4967546626079193,3.4860082688366316
88,3.861084589692141,3.5325218430886607,3.653208929479631,4.425515068941026,3.545166743598838,3.537565709830789
89,3.8778135503496083,3.579478020618171,3.6792423248349464,4.483712552294645,3.593578824589757,3.5828372218589757
90,3.9270937052611385,3.633233663077643,3.72996450533253,4.53265796818922,3.657775715530264,3.616853878036598
91,3.9916441903300472,3.669781513529171,3.785269589699158,4.5904188421777805,3.6791212282496812,3.6593872678999664
92,4.042870463273023,3.6958149088844867,3.806057211781208,4.639364258072355,3.7100551539771724,3.6929696627856132
